leftWES,leftESH,leftSHK,leftHKA,rightWES,rightESH,rightSHK,rightHKA,yoga
173.1490751358489,94.49487937463424,67.58833026584706,178.50383488611374,173.4054719766869,125.2546779614906,138.71493655372782,177.96369916240553,5
172.95609303453364,94.74230943741507,66.46757041961742,177.6431902508085,173.1616764067819,124.66485802548792,138.13378022014572,178.2042344128327,5
173.2571140941845,95.10316270961432,67.18762062621352,177.7986953302645,173.20513461270858,124.97475425306666,138.53077959463667,178.2336325121601,5
173.186219749539,94.89494972182888,68.13789352979985,178.91740014813809,173.47710901953857,124.5464920962472,138.84924696120888,177.19778404454047,5
173.1479068358785,94.04730246961005,70.10669557875845,179.86683503548812,174.3222557386759,124.39954942927838,138.92697406589406,177.2210886037843,5
172.6904208732044,93.54454915869344,70.00536134286264,179.3697693793091,174.23226293479834,124.58763736842452,138.61499643002128,178.13185532373836,5
172.4822340750892,93.31558607034871,69.80345930176739,178.8817663529301,174.28312350069456,124.84732360676816,138.98904750232597,177.55809334416602,5
172.4751045357584,91.56311286686967,72.78176037889995,179.94437781827125,174.1566119048062,125.25042466593555,140.31752873084787,176.8993343602657,5
172.15099845038944,90.80833522727364,73.39072756013843,179.7926158990124,174.4734911527973,125.32749921688148,140.85554321609482,176.71889560319312,5
172.10941321064453,90.79558475649918,73.60899066188392,179.93857285044888,174.64143525620017,125.33646460512782,140.69742751588382,177.01307963540293,5
171.75658467594064,89.41389978588717,74.78653646679642,179.49613390622818,174.42089248803157,126.25438820075018,141.3863081443125,177.42897171999522,5
172.19804904143828,88.87417272083121,75.03717076243156,178.65254779052776,174.175176426936,126.74970089015112,141.79325801383078,177.71023460289936,5
171.3676357643264,87.77531726907928,75.41913030203897,178.1445515271959,174.2091780391495,127.17959909680008,142.3286192364869,177.4863770429764,5
171.1506173467479,87.24435655216446,76.19185878265789,178.13333283896688,174.1407580828573,127.13273870820156,142.50313542701886,177.95400777814297,5
170.97692421583974,86.40924824489494,75.74323369524873,176.8370262665296,174.2174812075472,127.33007149274296,142.39505411026963,178.33362327799733,5
170.9982980283228,85.26810383607567,76.76974970472813,176.96528284550797,174.48724767749485,127.91837051928889,143.16997279840575,178.0851696985959,5
171.03641482886607,85.51591785493171,77.13760461984843,178.07186744179148,173.8125023334367,128.01258276484194,143.55984963143732,178.09139503868428,5
170.66451500842078,84.72207835141707,76.95989616135698,176.92917324806845,173.42950181363253,128.06050236315326,143.78263433825978,177.84231765812396,5
171.43770457059537,85.30232753354589,76.69923080650744,176.84379408582248,174.27781450150127,128.1242926144327,143.49076169259547,177.52867483105803,5
172.0613123939011,86.082990462087,76.28586043867375,177.3971148305916,174.21003380138492,127.630649805169,143.4721947694663,177.26250496339705,5
172.4795537137732,86.7642009075084,75.93459650044771,177.49008293351895,174.36340287533534,127.43105838626364,143.3787751340527,177.3636546883045,5
173.39163092182812,87.87923055025999,74.61300026352494,176.42237516785968,174.52535406470463,127.30679988138644,143.3144375058263,177.64438336465406,5
173.30769673992123,88.24046716732192,73.90417506819804,176.18600081186997,174.66127036792807,127.14061529361308,142.89733248749084,177.52944582328314,5
173.00645708741888,88.58233116425367,73.53014959583327,176.1822866090935,174.59961952299116,125.77467917512428,141.9446244968969,177.64047444192124,5
172.8523248188479,89.0216062567398,73.72943140090678,176.52928728895515,175.11621364371453,126.5599934296802,142.57391470547316,177.27636010215298,5
172.2764604479073,88.48537336879548,74.04844942773808,176.63333770504374,174.94869869666587,126.38655398693432,142.77793875270984,177.3942402795568,5
172.06514559135945,88.99142083539584,73.00405424230982,176.02834479251578,175.39906689871424,126.69077131951178,142.6789595408776,177.5618568240464,5
171.74815240107137,88.24763304272187,73.47998694764993,175.92662727508528,174.3933807693913,125.83588183815542,142.9043065428281,177.66411500309547,5
171.64091150901731,88.74815030046665,72.30432549616464,175.44775207980615,174.64007674938546,125.56752807778514,142.07756408782492,178.83898145696486,5
172.05426266984227,89.50099442121564,71.89144727589968,175.66505282274431,174.70081851043534,125.08675076866729,141.6048166738182,178.67979934739728,5
