,leftWES,leftESH,leftSHK,leftHKA,rightWES,rightESH,rightSHK,rightHKA
0,172.8162689845447,2.2943962823147235,175.92408064520683,166.24527752121975,171.79277340003875,14.976259711400582,174.29603523774927,176.68504274794003
1,175.07253313451875,4.185526653996659,170.24429862461992,157.16016205320003,166.17235959659214,16.055420756061128,171.7269917724498,179.823375739482
2,175.016220043269,4.369132700913196,169.50709371801713,158.09955002711624,163.5011337476585,16.71253126360745,171.90276312599687,178.5917636134306
3,179.42280285074395,6.321453502032271,172.16042511875943,167.24817102363517,158.57305717601133,16.89390578204606,169.10164338411536,179.35045218113848
4,178.73733020453187,6.596423258485778,172.3501737276379,167.53461846791387,159.62144217469876,16.164519113879752,169.19787109222705,179.40748466056988
5,179.21496421142336,6.529174169549001,172.28230078618537,167.8372751130208,159.37715852374643,16.399355343727382,169.30053454719533,179.55777344183517
6,174.81779053275068,9.074141566798797,173.0503373988148,176.8518657108003,159.0691491118247,15.485029806845088,168.54145586521975,179.58202295566434
7,175.28897581506507,8.994501730627466,172.34467302623113,178.74073187759893,159.53186262000514,14.828897760018968,169.0917428376013,179.65611444803884
8,177.13397697038877,8.647831998165366,171.76188519228043,179.0006176520312,159.5807227614531,14.862464619725738,169.4570239696536,179.0749749823492
9,175.94145355552698,9.476420383943482,171.76275310333295,178.84378573903092,160.98483267505964,13.830072945120586,168.95495339413685,178.79776457009595
10,174.3744986217693,9.59738419232949,173.04542569975408,178.5548287104976,158.10156095534248,15.230276971964066,168.2841070024811,179.14517574396697
11,173.8444685315083,9.830062229896283,173.5235883373774,178.55426937166342,158.76134199712595,15.14743771783747,167.43702169015214,179.2145335578772
12,173.80830839012796,9.960201767506748,173.53955932285243,178.74300734293513,158.81907240554503,15.003896394025467,167.67189585634299,178.79490490054513
13,175.45964893986988,9.207030249487556,173.94537202727733,178.74549526673124,160.81351955265504,13.561387018242806,167.61833990747397,178.77022608454266
14,173.96295900067358,10.218045960731864,174.36327643154766,178.59630706856066,163.06127917545,12.562899941655981,167.3292992361875,179.49627081528376
15,174.78575608495143,10.05141955810899,174.78621059956163,179.4061738912996,168.36119233645096,11.056988636029015,169.41139426889953,179.3681080073705
16,174.286419585844,10.757634847757016,174.94276387195268,179.640908326365,167.25978292546264,12.876250900311085,170.91996933681472,179.85145713984554
17,175.56696278863964,10.295995313636645,174.89961195617798,179.95606753180022,168.3418630090067,11.41191259368382,173.2588740432309,179.41181185714905
18,176.26869980093662,10.317063853802651,175.93255776574506,179.28148490488425,168.64938245466655,11.668844459440216,174.45023362188658,179.74778677023406
19,176.52054404410924,10.023348776726435,176.51993779622543,178.7712345140469,170.88388911291614,11.072369441415868,175.03810755696028,179.48265315182798
20,174.43531633429714,10.938687497812245,177.28479894086132,179.30987022484877,171.58591120772766,10.816727701248528,175.9744373680464,179.8418956077467
21,173.70144874600646,11.215200290405589,177.23753568717427,179.73386103998507,172.2812715132119,10.740072848851417,176.22081474084075,179.74276489630458
22,173.2948910770488,11.76441367464613,177.72434769427971,179.85559360457404,172.30854862094012,11.34146531186401,176.69763658191712,179.5778431012665
23,172.43881555794175,12.361095518439292,177.92010303443232,179.82123629791437,172.5529045809193,11.201768306003784,176.57798247063624,179.695619995926
24,172.72829709241017,12.161314336684727,177.7138063510875,179.85789526834782,171.7644584511644,11.346116058770917,176.94367814749756,179.3023096513596
25,172.49788855498906,12.856865224591,178.45767531149497,179.29207387741332,173.91964290071516,11.692150836856047,177.4480666309582,179.00580139735825
26,173.665527885734,12.9185352480828,178.36318843027382,179.07297768332438,174.82653406303174,11.872467386483763,177.54667098986883,179.2533075886703
27,173.67165926011558,13.265472384327639,178.66401948860437,179.00052750082733,175.1933207446008,12.564949216923672,177.16590982439493,179.70961587601275
28,173.8147514681779,13.428465513764023,178.53258193532494,178.78270777596916,176.33168901787923,12.539774279617085,177.44931121898802,179.59114995645777
29,173.58592456797405,13.630680356456603,178.62464498339898,178.905298939578,175.95318317568038,13.059222936892448,177.04143870396948,179.8538159459322
30,174.0828657595376,13.200001023341501,179.00385723023618,178.76803132986504,177.30690499383945,12.968414156038136,177.09263693095232,179.97784156254068
31,174.0970453158065,12.934140480682006,178.82041189571945,178.9028089707595,176.89346230357467,12.697434488896997,177.35326273997623,179.64867350657957
32,175.42154328007572,12.477358991373091,178.33034200066496,179.08554187408978,176.8920644022857,12.634651262710173,177.4884531134031,179.84669280764265
33,176.60665050689738,12.030499796721752,178.43146013914668,179.1961165349006,177.22444388524465,12.152497349488987,177.6143828708301,179.5131449843215
34,176.4614712244577,12.245118991446168,178.8285013178953,178.59908995708474,176.7931618966577,12.270429524199882,177.25038053888827,179.72696159099232
35,176.48070945320168,12.170819704221497,178.6101090403417,179.3360504020487,177.21982942017104,12.076769799433613,177.12501373640168,179.83082718878023
36,176.25137561226137,12.199310936714967,178.50769096763602,179.79924842478292,177.44795518840255,11.840609099449233,177.15695786069762,179.53725568252673
37,177.80045911321974,12.735850775430897,178.19541580412462,179.91542049688198,173.4842458770618,13.207787751386713,177.27257929325734,179.23466491145777
38,177.5921075775729,13.783398921457385,178.09621263577625,179.9478127679058,167.70522306566994,16.625242576975392,176.60490576177435,179.90529229058953
39,170.96683893364013,21.54772288438133,177.50780159542822,177.95689961195114,154.07375631627988,24.02338594412586,176.43818950218568,179.64142377273762
40,164.80856164099382,26.65015132051992,177.12941262257436,177.96021300990265,137.53172017527365,26.693774729130435,176.63262186344926,179.90737158862186
